title,url,author,documentType,sourceName,visualizationType,technology,thumbnail,date
The business of Bond,http://007.lucklaboratories.com/,,,,,,,
Get dirty with data using d3.js,http://2011.12devsofxmas.co.uk/2012/01/data-visualisation/,Clinton Montague,Introductory tutorials,,,,,
Bubbles generator using a simplex noise,http://2013.poster.thirteen23.com/generator/,Adam Luikart,standalone visualization,,experiment,,,
A Race to Entitlement,http://3angular.roberryarts.com/,,,,,,,
Presentation on Visualizing Data in D3.js and mapping tools at NetTuesday,http://affinitybridge.com/blog/presentation-visualizing-data-d3js-and-mapping-tools-nettuesday,Mack Hardy,video,,,,,
D3 Tutorials,http://alignedleft.com/tutorials/d3/,Scott Murray,Introductory tutorials,,,,,
OECD Health Government Spending and Obesity Rates (nvd3),http://ameliamango.com/fatness.html,Amelia Mango,,,,,,
Daily data return rates for seismic networks in the EarthScope USArray,http://anf.ucsd.edu/tools/data_return_rates/,Rob Newman,,,,,,
Chart Wheel Visualization,http://anilomanwar.github.com/d3jsExperiments/ChartWheel.html,Anil Omanwar,code library,github page,,,,
D3.js: Data-Driven Delight,http://anna.ps/talks/fel/#/,Anna Powell-Smith,talk slides,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-13-13%209.33.27%20AM.png,
Running Away Balloons - simple game,http://astekfoto.blogspot.be/2012/11/running-away-ballons.html,Astek,blog post,,experiment,,http://kwout.com/cutout/m/p9/k7/gyj_w200.jpg,
"Data Visualization with D3.js, slides and video",http://benclinkinbeard.com/talks/2012/NCDevCon/#/,Ben Clinkinbeard,talks,NCDevCon,,,,
Sparklines,http://benjchristensen.com/2011/08/08/simple-sparkline-using-svg-path-and-d3-js/,Ben J. Christensen,blog post,,sparkline,,http://kwout.com/cutout/f/n3/sd/c36_w200.jpg,
Dual scale line chart,http://benjchristensen.com/2012/05/02/line-graphs-using-d3-js/,,,,,,,
Interactive Line Graph,http://benjchristensen.com/2012/05/15/interactive-line-graph-using-d3-js/,,,,line chart,,,
Interactive visual breakpoint detection on SegAnnDB,http://bioviz.rocq.inria.fr/plotter/,Toby Dylan Hocking,,,,,,
SCION simulation environment,http://bit.ly/PvWgUH,,,,network,,,
Confidence interval in poll surveys,http://bit.ly/QHVOU0,,,,,,,
Comparing the same surveys by different polling organizations (polish),http://bit.ly/US45pL,,,,,,,
Marimekko Chart,http://bl.ocks.org/1005090,Mike Bostock,code viewer,bl.ocks,marimekko,,http://bl.ocks.org/d/1005090/thumbnail.png,12/19/2012
Zoomable Icicle,http://bl.ocks.org/1005873,Mike Bostock,code viewer,bl.ocks,icicle,,https://gist.github.com/mbostock/1005873/raw/thumbnail.png,10/11/2012
Matrix Layout,http://bl.ocks.org/1009139,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1009139/raw/thumbnail.png,12/20/2012
External SVG,http://bl.ocks.org/1014829,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1014829/raw/thumbnail.png,10/11/2012
Line Tension,http://bl.ocks.org/1016220,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1016220/raw/thumbnail.png,10/11/2012
Superformula Tweening,http://bl.ocks.org/1020902,Mike Bostock,code viewer,bl.ocks,experiment,,https://gist.github.com/mbostock/1020902/raw/thumbnail.png,10/11/2012
Superformula Tweening,http://bl.ocks.org/1020902,,code viewer,bl.ocks,experiment,,,
Superformula Explorer,http://bl.ocks.org/1021103,,code viewer,bl.ocks,experiment,,,
Multi-Foci Force Layout,http://bl.ocks.org/1021841,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1021841/raw/thumbnail.png,12/20/2012
Force-directed layout with multiple Foci,http://bl.ocks.org/1021953,,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1021953/raw/thumbnail.png,
Hierarchical Edge Bundling,http://bl.ocks.org/1044242,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1044242/raw/thumbnail.png,12/19/2012
Chord Diagram,http://bl.ocks.org/1046712,Mike Bostock,code viewer,bl.ocks,chord diagram,,,
Area Transition,http://bl.ocks.org/1059602,Ricardo Marimón,code viewer,bl.ocks,area chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-6-13%2011.24.22%20PM.png,
Collapsible tree,http://bl.ocks.org/1061834,Mike Bostock,code viewer,bl.ocks,tree,,,
Collapsible Force Layout,http://bl.ocks.org/1062288,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1062288/raw/thumbnail.png,12/20/2012
Force-Directed Symbols,http://bl.ocks.org/1062383,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1062383/raw/thumbnail.png,12/20/2012
OMG Particles!,http://bl.ocks.org/1062544,Mike Bostock,code viewer,bl.ocks,experiment,,https://gist.github.com/mbostock/1062544/raw/thumbnail.png,12/17/2012
Venn Diagram with Opacity,http://bl.ocks.org/1067616,Mike Bostock,code viewer,bl.ocks,venn diagram,,https://gist.github.com/mbostock/1067616/raw/thumbnail.png,12/20/2012
Venn Diagram with Clipping,http://bl.ocks.org/1067636,Mike Bostock,code viewer,bl.ocks,venn diagram,,https://gist.github.com/mbostock/1067636/raw/thumbnail.png,12/20/2012
Date Ticks,http://bl.ocks.org/1071269,Mike Bostock,code viewer,bl.ocks,axis,,https://gist.github.com/mbostock/1071269/raw/thumbnail.png,10/11/2012
Force-Directed States of America,http://bl.ocks.org/1073373,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/1073373/raw/thumbnail.png,10/11/2012
Candlestick charts,http://bl.ocks.org/1074045,Aaron Beppu,code viewer,bl.ocks,candlestick chart,,,
Force-Directed Layout from XML,http://bl.ocks.org/1080941,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1080941/raw/thumbnail.png,10/11/2012
Linear Gradient,http://bl.ocks.org/1086421,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1086421/raw/thumbnail.png,1/6/2013
HTML Overlay with pageX / pageY,http://bl.ocks.org/1087001,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1087001/raw/thumbnail.png,10/11/2012
Collapsible Indented Tree,http://bl.ocks.org/1093025,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1093025/raw/thumbnail.png,1/22/2013
Collapsible Force Layout,http://bl.ocks.org/1093130,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1093130/raw/thumbnail.png,12/20/2012
Modifying a Force Layout,http://bl.ocks.org/1095795,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1095795/raw/thumbnail.png,1/11/2013
PolarClock,http://bl.ocks.org/1096355,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1096355/raw/thumbnail.png,1/13/2013
Arc Tween (Clock),http://bl.ocks.org/1098617,Mike Bostock,code viewer,bl.ocks,arc,,https://gist.github.com/mbostock/1098617/raw/thumbnail.png,10/11/2012
Segmented Lines and Slope Coloring,http://bl.ocks.org/1117287,,code viewer,bl.ocks,,,,
Rounded Rectangles,http://bl.ocks.org/1123639,Mike Bostock,code viewer,bl.ocks,experiment,,https://a248.e.akamai.net/camo.github.com/7cfce378de825a886f29b9b4f112f413099785e1/687474703a2f2f64336a732e6f72672f65782f726f6e6465642d726563742e706e67,
Chained Transitions,http://bl.ocks.org/1125997,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1125997/raw/thumbnail.png,10/11/2012
Bounded Force Layout,http://bl.ocks.org/1129492,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1129492/raw/thumbnail.png,10/11/2012
Stacked Bar Chart,http://bl.ocks.org/1134768,Mike Bostock,code viewer,bl.ocks,stacked bar chart,,https://gist.github.com/mbostock/1134768/raw/thumbnail.png,10/11/2012
